,bio_source,fold,nan_r2,masked_mse_loss,total_time(sec)
0,bio_source_HCT116,0,0.4917172182502906,0.399188369438278,16.507900714874268
1,bio_source_HCT116,1,0.5063426782092361,0.4114367002302582,16.07191276550293
2,bio_source_HCT116,2,0.4996611568088456,0.422016251597763,35.424375772476196
3,bio_source_HCT116,3,0.5453887844612666,0.37895539491914865,22.81628394126892
4,bio_source_HCT116,4,0.5475557603996573,0.35747394268739385,20.831812143325806
5,bio_source_HCT116,5,0.5567291548220908,0.3767885027577755,20.314655780792236
6,bio_source_HCT116,6,0.5236694802102139,0.38324485661577906,19.97781205177307
7,bio_source_HCT116,7,0.517808050602878,0.3544679939496361,19.683199882507324
8,bio_source_HCT116,8,0.5064948816717347,0.3698395250146009,20.2098445892334
9,bio_source_HCT116,9,0.5260865769478694,0.40520437418920147,20.54476523399353
10,bio_source_HCT116,mean,0.5221453742384082,0.3858615911399835,21.238256287574767
